Iteration,population,infection,recovered,died
0,7146,2,0,0
1,7146,4,0,0
2,7146,8,0,0
3,7146,16,0,0
4,7146,32,0,0
5,7146,64,0,0
6,7146,130,0,0
7,7146,269,1,1
8,7146,541,3,1
9,7146,1068,4,4
10,7146,2059,8,8
11,7146,3655,13,19
12,7146,5102,31,33
13,7146,5988,74,56
14,7146,6487,154,115
15,7146,6748,319,222
16,7146,6844,638,430
17,7146,6895,1222,837
18,7146,6916,2195,1460
19,7146,6927,3051,2051
20,7146,6938,3602,2386
21,7146,6947,3889,2598
22,7146,6953,4044,2704
23,7146,6958,4097,2747
24,7146,6962,4129,2766
25,7146,6963,4145,2771
26,7146,6966,4151,2776
27,7146,6968,4159,2779
28,7146,6969,4164,2783
29,7146,6971,4167,2786
30,7146,6972,4169,2789
31,7146,6974,4171,2791
32,7146,6975,4172,2791
33,7146,6975,4174,2792
